,postId,age,gender,education,estimate,estimateVal,rrp,p,time,sheet_no,x1,x2,lotterychoice
0,khy2rp1s,31.0,Female,College,verbatim,25,0.3,0.25,unlimited,sheet0,40,10,19b
1,khy2mqnp,29.0,Male,College,gist,likely,-0.4090909090909091,0.25,2000,sheet0,50,20,8b
2,khy2mwyq,31.0,Male,High school,verbatim,50,0.03,0.5,500,sheet0,40,10,11b
3,khy7qr4a,36.0,Female,Professional school,default,none,0.2785714285714286,0.5,unlimited,sheet0,50,20,17a
4,khy5pwik,32.0,Male,College,verbatim,90,0.4166666666666667,0.9,unlimited,sheet0,10,0,0a
5,khy2mva4,59.0,Female,Professional school,default,none,0.08333333333333333,0.9,1000,sheet0,10,0,4b
6,khy55ugi,30.0,Male,College,default,none,0.23195876288659795,0.95,500,sheet0,50,20,9b
7,khy2n929,50.0,Male,College,verbatim,25,-0.9857142857142858,0.25,unlimited,sheet0,40,10,4b
8,khy2pkcj,43.0,Male,College,verbatim,25,-0.4714285714285714,0.25,unlimited,sheet0,40,10,10b
9,khy7n3tk,38.0,Male,Post-doctoral,default,none,-0.045454545454545456,0.05,500,sheet0,150,50,19b
10,khy3vc9m,32.0,Female,Graduate school,gist,almost_certain,-0.38372093023255816,0.05,unlimited,sheet0,50,20,14b
11,khy2mi73,29.0,Male,College,gist,highly_likely,0.5277777777777778,0.9,unlimited,sheet0,10,0,12b
12,khy3txdw,39.0,Male,College,default,none,0.23195876288659795,0.95,500,sheet0,50,20,9b
13,khy30iah,36.0,Male,College,default,none,-0.1590909090909091,0.1,500,sheet0,20,10,15b
14,khy2mjzy,31.0,Male,High school,verbatim,10,-1.25,0.1,500,sheet0,50,0,16a
15,khy37iar,35.0,Male,College,default,none,0.07894736842105263,0.95,1000,sheet0,20,0,3b
16,khy52vu2,39.0,Male,High school,gist,highly_likely,0.17532467532467533,0.95,2000,sheet0,40,10,6b
17,khy2typj,32.0,Female,College,default,none,0.3055555555555556,0.9,unlimited,sheet0,50,0,8a
18,khy2mpb3,46.0,Female,College,verbatim,80,0.3,0.75,2000,sheet0,20,0,10b
19,khy3phte,36.0,Male,College,verbatim,95,0.33116883116883117,0.95,2000,sheet0,40,10,10b
20,khy2n081,31.0,Male,College,gist,about_even,0.15,0.5,unlimited,sheet0,40,10,13a
21,khy5qk48,38.0,Male,College,default,none,0.5277777777777778,0.9,500,sheet0,50,0,12b
22,khy300ey,24.0,Masculino,Colegial,verbatim,80,0.1588235294117647,0.75,unlimited,sheet0,50,20,0b
23,khy2mt7n,24.0,Male,High school,default,none,-4.25,0.1,500,sheet0,50,0,10b
24,khy2mxq3,31.0,Male,Graduate school,verbatim,20,-0.08181818181818182,0.25,500,sheet0,50,20,14b
25,khy58mt2,29.0,Female,College,default,none,0.1588235294117647,0.75,1000,sheet0,50,20,10b
26,khy2neez,19.0,Male,Professional school,verbatim,40,-0.8478260869565217,0.05,2000,sheet0,40,10,13b
27,khy2nkde,34.0,Male,College,default,none,-0.75,0.1,500,sheet0,10,0,17b
28,khy3iwft,45.0,Female,Graduate school,verbatim,50,-0.02142857142857143,0.5,1000,sheet0,50,20,10b
29,khy3e3dg,58.0,Female,College,gist,no_chance,-1.25,0.1,1000,sheet0,50,0,16b
30,khy5mpdj,27.0,Female,High school,gist,highly_unlikely,-0.3,0.25,unlimited,sheet0,20,0,14b
31,khy2m9mv,28.0,Male,High school,verbatim,50,0.10714285714285714,0.5,1000,sheet0,50,20,13b
32,khy36wy5,25.0,Male,High school,verbatim,45,-1.1,0.25,500,sheet0,20,0,10b
33,khy2n08z,46.0,Female,College,verbatim,25,-0.6428571428571429,0.25,2000,sheet0,40,10,8b
34,khy2q4zg,24.0,Male,High school,verbatim,90,-0.013157894736842105,0.9,2000,sheet0,20,10,2a
35,khy2nozb,27.0,Female,College,verbatim,30,0.12857142857142856,0.25,500,sheet0,40,10,17a
36,khy7nk05,30.0,Male,College,default,none,-0.8142857142857143,0.25,1000,sheet0,40,10,6a
37,khy2mrc0,38.0,Female,College,verbatim,50,-0.05,0.5,unlimited,sheet0,50,0,10b
38,khy373ea,27.0,Male,College,verbatim,95,-0.02631578947368421,0.95,500,sheet0,20,0,1a
39,khy5813y,32.0,Male,Graduate school,verbatim,75,-9.5,0.05,2000,sheet0,20,0,0b
40,khy2o8yq,30.0,Male,Graduate school,default,none,-0.05,0.5,500,sheet0,20,10,9b
41,khy2xce6,32.0,Male,College,gist,highly_unlikely,-1.25,0.1,2000,sheet0,10,0,16b
